Star Name,Spectral Type,Stellar Radius [Solar Radius],Element Composition,Host Name,ObjectType
CoRoT-30,G3 V,0.91,Hydrogen,CoRoT-30,S
CoRoT-31,G2 IV,2.15,Hydrogen,CoRoT-31,S
CoRoT-35,F6 V,1.65,Hydrogen,CoRoT-35,S
CoRoT-36,F3 V,1.52,Hydrogen,CoRoT-36,S
CoRoT-4,,1.17,Hydrogen,CoRoT-4,S
CoRoT-5,F9 V,1.11,Hydrogen,CoRoT-5,S
CoRoT-6,F9 V,1.03,Hydrogen,CoRoT-6,S
CoRoT-7,G9 V,0.83,Hydrogen,CoRoT-7,S
CoRoT-8,K1 V,0.8,Hydrogen,CoRoT-8,S
CoRoT-9,G3 V,0.96,Hydrogen,CoRoT-9,S
CoRoTID 223977153,G0 VI,0.79,Hydrogen,CoRoTID 223977153,S
DE CVn,,0.42,Hydrogen,DE CVn,S
DENIS-P J082303.1-491201,L1.5,,Hydrogen,DENIS-P J082303.1-491201,S
DH Tau,M0.5,0.27,Hydrogen,DH Tau,S
DMPP-1,F8 V,1.26,Hydrogen,DMPP-1,S
DMPP-2,F5 V,1.78,Hydrogen,DMPP-2,S
DMPP-3,K0 V,0.91,Hydrogen,DMPP-3 A,S
DMPP-4,F5-F8 V,1.38,Hydrogen,DMPP-4,S
DP Leo,,0.01,Hydrogen,DP Leo,S
DS Tuc,G6 V,0.96,Hydrogen,DS Tuc A,S
EPIC 201170410,,0.28,Hydrogen,EPIC 201170410,S
EPIC 201238110,,0.37,Hydrogen,EPIC 201238110,S
EPIC 201427007,,0.94,Hydrogen,EPIC 201427007,S
EPIC 201497682,,0.55,Hydrogen,EPIC 201497682,S
EPIC 201595106,,0.98,Hydrogen,EPIC 201595106,S
K2-166,,1.6,Hydrogen,K2-166,S
K2-16,K3 V,0.54,Hydrogen,K2-16,S
EPIC 201757695,,0.66,Hydrogen,EPIC 201757695,S
K2-50,,0.63,Hydrogen,K2-50,S
EPIC 201841433,,0.63,Hydrogen,EPIC 201841433,S
K2-168,,0.83,Hydrogen,K2-168,S
EPIC 206024342,,0.82,Hydrogen,EPIC 206024342,S
EPIC 206032309,,0.37,Hydrogen,EPIC 206032309,S
EPIC 206042996,,0.5,Hydrogen,EPIC 206042996,S
EPIC 206215704,,0.25,Hydrogen,EPIC 206215704,S
EPIC 206317286,,0.67,Hydrogen,EPIC 206317286,S
EPIC 211822797,M0,0.58,Hydrogen,EPIC 211822797,S
EPIC 211945201,G0,1.39,Hydrogen,EPIC 211945201,S
EPIC 212297394,,0.8,Hydrogen,EPIC 212297394,S
EPIC 212424622,,1.22,Hydrogen,EPIC 212424622,S
EPIC 212499991,,0.76,Hydrogen,EPIC 212499991,S
EPIC 212587672,,0.98,Hydrogen,EPIC 212587672,S
EPIC 212624936,,0.93,Hydrogen,EPIC 212624936,S
EPIC 212737443,K3,0.67,Hydrogen,EPIC 212737443,S
EPIC 220492298,,0.89,Hydrogen,EPIC 220492298,S
K2-282,,1,Hydrogen,K2-282,S
EPIC 220674823,G5 V,0.99,Hydrogen,EPIC 220674823,S
EPIC 228836835,,0.32,Hydrogen,EPIC 228836835,S
EPIC 229004835,,1,Hydrogen,EPIC 229004835,S
EPIC 246851721,F5 V,1.59,Hydrogen,EPIC 246851721,S
EPIC 248847494,,2.7,Hydrogen,EPIC 248847494,S
EPIC 249893012,G8 IV/V,1.71,Hydrogen,EPIC 249893012,S
FU Tau,M7.25,,Hydrogen,FU Tau,S
G 196-3,,0.52,Hydrogen,G 196-3,S
G 264-012,M4.0 V,0.3,Hydrogen,G 264-012,S
G 9-40,M2.5 V,0.3,Hydrogen,G 9-40,S
GJ 1002,M5.5 V,0.14,Hydrogen,GJ 1002,S
GJ 1061,M5.5 V,0.16,Hydrogen,GJ 1061,S
GJ 1132,M4.5 V,0.22,Hydrogen,GJ 1132,S
GJ 1148,M5,0.36,Hydrogen,GJ 1148,S
GJ 1151,M 4.5V,0.18,Hydrogen,GJ 1151,S
GJ 1214,M4 V,0.22,Hydrogen,GJ 1214,S
GJ 1252,M3,0.39,Hydrogen,GJ 1252,S
GJ 1265,M4.5 V,0.19,Hydrogen,GJ 1265,S
GJ 143,K4.5,0.7,Hydrogen,GJ 143,S
GJ 15,M1,0.38,Hydrogen,GJ 15 A,S
GJ 160.2,M0 V,0.66,Hydrogen,GJ 160.2,S
GJ 163,M,0.41,Hydrogen,GJ 163,S
GJ 179,M3.5 V,0.38,Hydrogen,GJ 179,S
GJ 180,M2 V,0.41,Hydrogen,GJ 180,S
GJ 2030,,2.24,Hydrogen,GJ 2030,S
GJ 2056,M0V:,0.71,Hydrogen,GJ 2056,S
GJ 229,,0.46,Hydrogen,GJ 229,S
GJ 238,M2.5 V,0.43,Hydrogen,GJ 238,S
GJ 251,M3.0 V,0.36,Hydrogen,GJ 251,S
GJ 27.1,M0.5 V,0.52,Hydrogen,GJ 27.1,S
GJ 273,M3.5,0.29,Hydrogen,GJ 273,S
GJ 3021,G6 V,0.9,Hydrogen,GJ 3021,S
GJ 3082,M4,0.47,Hydrogen,GJ 3082,S
GJ 3090,M2 V,0.52,Hydrogen,GJ 3090,S
GJ 3138,M0,0.5,Hydrogen,GJ 3138,S
GJ 317,M2.5 V,0.43,Hydrogen,GJ 317,S
HIP 15799,K0V,0.93,Hydrogen,GJ 3222,S
GJ 328,M0.0,0.63,Hydrogen,GJ 328,S
GJ 3293,M2.5,0.4,Hydrogen,GJ 3293,S
GJ 3323,M4,0.12,Hydrogen,GJ 3323,S
GJ 3341,M2.5,0.44,Hydrogen,GJ 3341,S
GJ 338,M0 V,0.58,Hydrogen,GJ 338 B,S
GJ 3470,M1.5,0.5,Hydrogen,GJ 3470,S
GJ 3473,M4,0.36,Hydrogen,GJ 3473,S
GJ 3512,M5.5 V,0.14,Hydrogen,GJ 3512,S
GJ 357,M2.5 V,0.34,Hydrogen,GJ 357,S
GJ 3634,M2.5,0.43,Hydrogen,GJ 3634,S
GJ 367,M1.0 V,0.46,Hydrogen,GJ 367,S
GJ 3779,M4.0 V,0.28,Hydrogen,GJ 3779,S
GJ 3929,M3.5 V,0.32,Hydrogen,GJ 3929,S
GJ 393,M2.0 V,0.43,Hydrogen,GJ 393,S
GJ 3942,M0,0.61,Hydrogen,GJ 3942,S
GJ 3988,M4.5 V,0.2,Hydrogen,GJ 3988,S
GJ 3998,M1,0.49,Hydrogen,GJ 3998,S
GJ 411,M1.5 V,0.37,Hydrogen,GJ 411,S
GJ 414,K7 V,0.68,Hydrogen,GJ 414 A,S
GJ 422,M3.5 V,0.37,Hydrogen,GJ 422,S
GJ 4276,M4.0,0.41,Hydrogen,GJ 4276,S
GJ 433,M1.5 V,0.5,Hydrogen,GJ 433,S
GJ 436,M2.5 V,0.46,Hydrogen,GJ 436,S
GJ 463,M3 V,0.49,Hydrogen,GJ 463,S
GJ 480,M3.5 Ve,0.46,Hydrogen,GJ 480,S
GJ 486,M3.5 V,0.32,Hydrogen,GJ 486,S
GJ 504,G0 V,1.26,Hydrogen,GJ 504,S
GJ 514,M0.5-1.0 V,0.5,Hydrogen,GJ 514,S
GJ 536,M1 V,0.5,Hydrogen,GJ 536,S
GJ 581,M3 V,0.33,Hydrogen,GJ 581,S
GJ 625,M2,0.31,Hydrogen,GJ 625,S
GJ 649,M1.0,0.5,Hydrogen,GJ 649,S
GJ 667,M1.5 V,,Hydrogen,GJ 667 C,S
GJ 674,M2.5,0.36,Hydrogen,GJ 674,S
GJ 676,M0 V,0.69,Hydrogen,GJ 676 A,S
HIP 86057,K5,0.46,Hydrogen,GJ 680,S
GJ 682,M3.5 V,0.3,Hydrogen,GJ 682,S
GJ 685,M0.5,0.54,Hydrogen,GJ 685,S
GJ 687,M3 V,0.42,Hydrogen,GJ 687,S
GJ 720,M0.5 V,0.56,Hydrogen,GJ 720 A,S
GJ 724,M1.0 V,0.52,Hydrogen,GJ 724,S
GJ 740,M1.0 V,0.56,Hydrogen,GJ 740,S
GJ 806,M1.5 V,0.41,Hydrogen,GJ 806,S
GJ 832,M2/3 V,0.44,Hydrogen,GJ 832,S
GJ 849,M3.5,0.45,Hydrogen,GJ 849,S
GJ 86,K1V,0.77,Hydrogen,GJ 86,S
GJ 876,M4 V,0.3,Hydrogen,GJ 876,S
GJ 887,M1 V,0.47,Hydrogen,GJ 887,S
GJ 896,M3.5 V,0.39,Hydrogen,GJ 896 A,S
GJ 900,K7,0.72,Hydrogen,GJ 900 A,S
GJ 9066,M5.0 V,0.16,Hydrogen,GJ 9066,S
GJ 9404,M2V,0.63,Hydrogen,GJ 9404,S
GJ 96,M2,0.58,Hydrogen,GJ 96,S
GJ 9689,M0.5,0.57,Hydrogen,GJ 9689,S
HIP 103768,K5V,0.66,Hydrogen,GJ 9714,S
GJ 9827,K7 V,0.6,Hydrogen,GJ 9827,S
GPX-1,F2,1.56,Hydrogen,GPX-1,S
GQ Lup,K7e V,1.94,Hydrogen,GQ Lup,S
GSC 06214-00210,K7,0.9,Hydrogen,GSC 06214-00210,S
GU Psc,M3,0.45,Hydrogen,GU Psc,S
Gaia-1,,0.95,Hydrogen,Gaia-1,S
Gaia-2,,1.06,Hydrogen,Gaia-2,S
Gaia22dkvL,,,Hydrogen,Gaia22dkvL,S
Gl 378,M1,0.56,Hydrogen,Gl 378,S
Gl 49,M1.5 V,0.51,Hydrogen,Gl 49,S
Gl 686,M1.0 V,0.43,Hydrogen,Gl 686,S
Gliese 12,M3.0 V,0.26,Hydrogen,Gliese 12,S
HAT-P-1,G0 V,1.17,Hydrogen,HAT-P-1,S
HAT-P-11,K4,0.68,Hydrogen,HAT-P-11,S
HAT-P-12,K4,0.7,Hydrogen,HAT-P-12,S
HAT-P-13,G4,1.76,Hydrogen,HAT-P-13,S
HAT-P-14,F5 V,1.82,Hydrogen,HAT-P-14,S
HAT-P-15,G5,1.07,Hydrogen,HAT-P-15,S
HAT-P-16,F8,1.24,Hydrogen,HAT-P-16,S
HAT-P-17,,0.84,Hydrogen,HAT-P-17,S
HAT-P-18,K2,0.75,Hydrogen,HAT-P-18,S
HAT-P-19,K1,0.77,Hydrogen,HAT-P-19,S
HAT-P-2,F8,1.39,Hydrogen,HAT-P-2,S
HAT-P-20,K3,0.69,Hydrogen,HAT-P-20,S
HAT-P-21,G3,1.21,Hydrogen,HAT-P-21,S
HAT-P-22,G5 V,1.11,Hydrogen,HAT-P-22,S
HAT-P-23,G0,1.2,Hydrogen,HAT-P-23,S
HAT-P-24,F8,1.32,Hydrogen,HAT-P-24,S
HAT-P-25,G5,0.92,Hydrogen,HAT-P-25,S
HAT-P-26,K1,0.87,Hydrogen,HAT-P-26,S
HAT-P-27,G8,0.86,Hydrogen,HAT-P-27,S
HAT-P-28,G3,1.1,Hydrogen,HAT-P-28,S
HAT-P-29,F8,1.3,Hydrogen,HAT-P-29,S
HAT-P-3,K1,0.86,Hydrogen,HAT-P-3,S
HAT-P-30,F7,1.31,Hydrogen,HAT-P-30,S
HAT-P-31,,1.39,Hydrogen,HAT-P-31,S
HAT-P-32,,1.37,Hydrogen,HAT-P-32,S
HAT-P-33,F4,1.64,Hydrogen,HAT-P-33,S
HAT-P-34,,1.53,Hydrogen,HAT-P-34,S
HAT-P-35,,1.44,Hydrogen,HAT-P-35,S
HAT-P-36,G5 V,1.04,Hydrogen,HAT-P-36,S
HAT-P-37,,0.88,Hydrogen,HAT-P-37,S
HAT-P-38,G5,0.92,Hydrogen,HAT-P-38,S
HAT-P-39,,1.76,Hydrogen,HAT-P-39,S
HAT-P-4,F,1.62,Hydrogen,HAT-P-4,S
HAT-P-40,,1.94,Hydrogen,HAT-P-40,S
HAT-P-41,,2.05,Hydrogen,HAT-P-41,S
HAT-P-42,,1.41,Hydrogen,HAT-P-42,S
HAT-P-43,F9,1.08,Hydrogen,HAT-P-43,S
HAT-P-44,,0.95,Hydrogen,HAT-P-44,S
HAT-P-45,,1.32,Hydrogen,HAT-P-45,S
HAT-P-46,,1.4,Hydrogen,HAT-P-46,S
HAT-P-49,F3,1.87,Hydrogen,HAT-P-49,S
HAT-P-5,G,1.12,Hydrogen,HAT-P-5,S
HAT-P-50,F5,1.7,Hydrogen,HAT-P-50,S
HAT-P-51,G7,0.99,Hydrogen,HAT-P-51,S
HAT-P-52,K1,0.89,Hydrogen,HAT-P-52,S
HAT-P-53,,1.21,Hydrogen,HAT-P-53,S
HAT-P-54,K7,0.62,Hydrogen,HAT-P-54,S
HAT-P-55,,1.1,Hydrogen,HAT-P-55,S
HAT-P-56,F8,1.43,Hydrogen,HAT-P-56,S
HAT-P-57,A8 V,1.85,Hydrogen,HAT-P-57,S
HAT-P-58,,1.53,Hydrogen,HAT-P-58,S
HAT-P-59,,1.1,Hydrogen,HAT-P-59,S
HAT-P-6,,1.62,Hydrogen,HAT-P-6,S
HAT-P-60,,2.2,Hydrogen,HAT-P-60,S
HAT-P-61,,0.94,Hydrogen,HAT-P-61,S
HAT-P-62,,1.17,Hydrogen,HAT-P-62,S
HAT-P-63,,0.97,Hydrogen,HAT-P-63,S
HAT-P-64,,1.74,Hydrogen,HAT-P-64,S
HAT-P-65,G2,1.67,Hydrogen,HAT-P-65,S
HAT-P-66,G0,1.88,Hydrogen,HAT-P-66,S
HAT-P-67,,2.55,Hydrogen,HAT-P-67,S
HAT-P-68,K,0.67,Hydrogen,HAT-P-68,S
HAT-P-69,,1.93,Hydrogen,HAT-P-69,S
HAT-P-7,,2,Hydrogen,HAT-P-7,S
HAT-P-70,,1.86,Hydrogen,HAT-P-70,S
HAT-P-8,F6,1.57,Hydrogen,HAT-P-8,S
HAT-P-9,F7,1.34,Hydrogen,HAT-P-9,S
HATS-1,,1.04,Hydrogen,HATS-1,S
HATS-10,,1.1,Hydrogen,HATS-10,S
HATS-11,G0,1.54,Hydrogen,HATS-11,S
HATS-12,F,1.17,Hydrogen,HATS-12,S
HATS-13,,0.89,Hydrogen,HATS-13,S
HATS-14,,0.93,Hydrogen,HATS-14,S
HATS-15,G9 V,0.92,Hydrogen,HATS-15,S
HATS-16,G3 V,1.24,Hydrogen,HATS-16,S
HATS-17,G V,1.09,Hydrogen,HATS-17,S
