Star Name,Spectral Type,Stellar Radius [Solar Radius],Element Composition,Host Name,ObjectType
HD 96063,K3V,0.76,Hydrogen,HD 96063,S
HD 96127,G0 V,1.47,Hydrogen,HD 96127,S
HD 96167,K0,0.84,Hydrogen,HD 96167,S
HD 96700,K1 V,0.84,Hydrogen,HD 96700,S
HD 96992,G0 V,1.34,Hydrogen,HD 96992,S
HD 97037,G0 V,1.24,Hydrogen,HD 97037,S
HD 97048,K2V,0.73,Hydrogen,HD 97048,S
HD 97658,K2V,0.73,Hydrogen,HD 97658,S
HD 98219,G0 V,1.21,Hydrogen,HD 98219,S
HD 98649,K0,4.89,Hydrogen,HD 98649,S
HD 98736,K0,4.6,Hydrogen,HD 98736,S
HD 99109,G7 IV-V,1.07,Hydrogen,HD 99109,S
HD 99283,G5,20.58,Hydrogen,HD 99283,S
HD 99492,G2 V,1.2,Hydrogen,HD 99492,S
HD 99706,,2.1,Hydrogen,HD 99706,S
HIP 105854,G9 V CN+1,2.01,Hydrogen,HIP 105854,S
HIP 107772,G8 III/IV,10.09,Hydrogen,HIP 107772,S
HIP 107773,G7 III,10.37,Hydrogen,HIP 107773,S
HIP 109384,G2 V,1.07,Hydrogen,HIP 109384,S
HIP 109600,,1.8,Hydrogen,HIP 109600,S
HIP 113103,,1.8,Hydrogen,HIP 113103,S
HIP 114933,G4 IV,1.3,Hydrogen,HIP 114933,S
HIP 116454,F8,1,Hydrogen,HIP 116454,S
HIP 12961,,0.75,Hydrogen,HIP 12961,S
HIP 14810,G7 III,6.47,Hydrogen,HIP 14810,S
HIP 19976,G3 V,1.05,Hydrogen,HIP 19976,S
HIP 21152,G3 V,1.05,Hydrogen,HIP 21152,S
HD 42813,G5,11.02,Hydrogen,HD 42813,S
HIP 34222,K0,1.2,Hydrogen,HIP 34222,S
HIP 35173,K0,1.11,Hydrogen,HIP 35173,S
HIP 35965,G8 IV,1.37,Hydrogen,HIP 35965,S
HIP 38594,K3V,0.74,Hydrogen,HIP 38594,S
HIP 39017,K0,0.76,Hydrogen,HIP 39017,S
HIP 41378,K3 V,0.85,Hydrogen,HIP 41378,S
HIP 4845,K2,38.41,Hydrogen,HIP 4845,S
HIP 48714,G0 V,1.34,Hydrogen,HIP 48714,S
HIP 5158,F8,1.3,Hydrogen,HIP 5158,S
HIP 54373,G2 V,0.96,Hydrogen,HIP 54373,S
HIP 54597,G3 IV,1.16,Hydrogen,HIP 54597,S
HIP 55507,G3 IV,1.16,Hydrogen,HIP 55507,S
HIP 56640,G5IV,1.16,Hydrogen,HIP 56640,S
HIP 57274,G5IV,1.16,Hydrogen,HIP 57274,S
HIP 5763,G5IV,1.16,Hydrogen,HIP 5763,S
HIP 63242,G5 V,1.22,Hydrogen,HIP 63242,S
HIP 65,G5 V,1.25,Hydrogen,HIP 65 A,S
HIP 65407,G3 IV/V,1.36,Hydrogen,HIP 65407,S
HIP 65426,,3.93,Hydrogen,HIP 65426,S
HIP 65891,F7 V,1.68,Hydrogen,HIP 65891,S
HIP 66074,G4 V,1.06,Hydrogen,HIP 66074,S
HIP 67522,G4 V,1.06,Hydrogen,HIP 67522,S
HIP 67537,G5,3.78,Hydrogen,HIP 67537,S
HIP 67851,,1.19,Hydrogen,HIP 67851,S
HIP 70849,K2 IV,0.88,Hydrogen,HIP 70849,S
HIP 71135,G,1.59,Hydrogen,HIP 71135,S
HIP 74890,G,1.59,Hydrogen,HIP 74890,S
HIP 75092,K2 V,0.78,Hydrogen,HIP 75092,S
HIP 77900,K2 V,0.78,Hydrogen,HIP 77900,S
HIP 78530,F8 V,1.67,Hydrogen,HIP 78530,S
HIP 79098,F8 V,1.67,Hydrogen,HIP 79098 AB,S
HIP 79431,G0,1.25,Hydrogen,HIP 79431,S
HIP 81208,K4 III,11.47,Hydrogen,HIP 81208 C,S
HIP 8152,G5 III/IV,2.34,Hydrogen,HIP 8152,S
HIP 8541,G7 IV,0.95,Hydrogen,HIP 8541,S
HIP 86221,G7 IV,0.95,Hydrogen,HIP 86221,S
HIP 90988,G0Vvar,1.39,Hydrogen,HIP 90988,S
HIP 91258,K0,1.39,Hydrogen,HIP 91258,S
HIP 94235,K0,1.39,Hydrogen,HIP 94235,S
HIP 948,K0,1.39,Hydrogen,HIP 948,S
HIP 9618,K0,1.39,Hydrogen,HIP 9618,S
HIP 97166,F7V,1.41,Hydrogen,HIP 97166,S
HIP 97233,F7V,1.47,Hydrogen,HIP 97233,S
HIP 99770,G9 IV-V,1.04,Hydrogen,HIP 99770,S
HN Lib,K0,4.63,Hydrogen,HN Lib,S
HN Peg,G1 V,1.04,Hydrogen,HN Peg,S
HR 2562,F5,1.65,Hydrogen,HR 2562,S
HR 5183,G6 V,0.92,Hydrogen,HR 5183,S
HR 810,,1.65,Hydrogen,HR 810,S
HR 858,G3 V,1.05,Hydrogen,HR 858,S
HR 8799,K0,6.93,Hydrogen,HR 8799,S
HS Psc,G9 V,0.94,Hydrogen,HS Psc,S
HU Aqr,M0.0 V,0.63,Hydrogen,HU Aqr,S
IC 4651 9122,G5,5.01,Hydrogen,IC 4651 9122,S
TOI-6963,G1 V,2.29,Hydrogen,IRAS 04125+2902,S
ITG 15,G1 V,2.29,Hydrogen,ITG 15 A,S
K2-10,G0/2 V,1.21,Hydrogen,K2-10,S
K2-100,F8,1.34,Hydrogen,K2-100,S
K2-101,F8,1.34,Hydrogen,K2-101,S
K2-102,K0 III/IV,3.86,Hydrogen,K2-102,S
K2-104,G0,1.41,Hydrogen,K2-104,S
K2-105,G0,1.44,Hydrogen,K2-105,S
K2-107,K0V,0.89,Hydrogen,K2-107,S
K2-108,K2 III,16.2,Hydrogen,K2-108,S
K2-11,K0,4.67,Hydrogen,K2-11,S
K2-110,G0 V,0.96,Hydrogen,K2-110,S
K2-111,,1.17,Hydrogen,K2-111,S
K2-113,G6 V,1.13,Hydrogen,K2-113,S
K2-114,K0,5.14,Hydrogen,K2-114,S
K2-115,G0,1.43,Hydrogen,K2-115,S
K2-116,G0,1.43,Hydrogen,K2-116,S
K2-117,K1 V,0.86,Hydrogen,K2-117,S
K2-118,K0,0.75,Hydrogen,K2-118,S
K2-119,K0,0.75,Hydrogen,K2-119,S
K2-12,K0,0.75,Hydrogen,K2-12,S
K2-121,F8 V,1.28,Hydrogen,K2-121,S
K2-122,K0 IV-V,0.95,Hydrogen,K2-122,S
K2-123,G9,0.85,Hydrogen,K2-123,S
K2-124,K1 III,8.56,Hydrogen,K2-124,S
K2-125,G3 IV,1.32,Hydrogen,K2-125,S
K2-126,G5 V,2.3,Hydrogen,K2-126,S
K2-127,G5 V,1.76,Hydrogen,K2-127,S
K2-128,F8 IV,1.76,Hydrogen,K2-128,S
K2-129,G0,1.38,Hydrogen,K2-129,S
K2-13,G0,1.38,Hydrogen,K2-13,S
K2-130,G2V,1.02,Hydrogen,K2-130,S
K2-131,G2V,1.02,Hydrogen,K2-131,S
K2-132,,2.76,Hydrogen,K2-132,S
K2-133,,2.76,Hydrogen,K2-133,S
K2-136,K2,0.72,Hydrogen,K2-136,S
K2-137,K0,4.5,Hydrogen,K2-137,S
K2-138,G0,1.21,Hydrogen,K2-138,S
K2-139,K V,0.76,Hydrogen,K2-139,S
K2-14,K V,0.76,Hydrogen,K2-14,S
K2-140,G0 V,1.12,Hydrogen,K2-140,S
K2-141,G0 V,1.12,Hydrogen,K2-141,S
K2-146,G5 V,2.13,Hydrogen,K2-146,S
K2-147,K1 IV,3.49,Hydrogen,K2-147,S
K2-148,G3 IV-V,1.33,Hydrogen,K2-148,S
K2-149,G3 IV-V,1.33,Hydrogen,K2-149,S
K2-15,G9 III,10.95,Hydrogen,K2-15,S
K2-150,G5 IV,1.48,Hydrogen,K2-150,S
K2-151,G2,1.72,Hydrogen,K2-151,S
K2-152,K3 V,0.75,Hydrogen,K2-152,S
K2-153,G5,1.76,Hydrogen,K2-153,S
K2-154,G5,1.76,Hydrogen,K2-154,S
K2-155,G5,1.11,Hydrogen,K2-155,S
K2-156,G9 V,0.95,Hydrogen,K2-156,S
K2-157,G9 V,0.95,Hydrogen,K2-157,S
K2-158,G9 V,0.95,Hydrogen,K2-158,S
K2-159,G3/5 V,1.06,Hydrogen,K2-159,S
K2-160,K0 IV-V,0.8,Hydrogen,K2-160,S
K2-161,K1 IV,4.63,Hydrogen,K2-161,S
K2-162,G5 V,0.95,Hydrogen,K2-162,S
K2-163,G8 III,9.7,Hydrogen,K2-163,S
K2-164,G2V,1.21,Hydrogen,K2-164,S
K2-165,G5,1.71,Hydrogen,K2-165,S
K2-167,K1 III,21.66,Hydrogen,K2-167,S
K2-169,,1.54,Hydrogen,K2-169,S
K2-17,F8 V,1.94,Hydrogen,K2-17,S
K2-170,F7 V,1.94,Hydrogen,K2-170,S
K2-171,K0 III,13.58,Hydrogen,K2-171,S
K2-172,G0,2.47,Hydrogen,K2-172,S
K2-173,G5,1.55,Hydrogen,K2-173,S
K2-174,G8,13.5,Hydrogen,K2-174,S
K2-175,K2,26.6,Hydrogen,K2-175,S
K2-176,G5 IV/V,1.75,Hydrogen,K2-176,S
K2-177,G8 IV,4.19,Hydrogen,K2-177,S
K2-178,G6 V,0.7,Hydrogen,K2-178,S
K2-179,G0 V,1.18,Hydrogen,K2-179,S
K2-18,K2.5 V,0.78,Hydrogen,K2-18,S
K2-180,G8V,0.97,Hydrogen,K2-180,S
K2-181,K0,3.26,Hydrogen,K2-181,S
K2-182,K0,2.62,Hydrogen,K2-182,S
K2-183,G5,1.08,Hydrogen,K2-183,S
K2-184,K0,4.06,Hydrogen,K2-184,S
K2-185,G6 IV,3.13,Hydrogen,K2-185,S
K2-186,M2.5 V,0.48,Hydrogen,K2-186,S
K2-187,K0 III/IV,4.16,Hydrogen,K2-187,S
K2-188,K2,0.87,Hydrogen,K2-188,S
K2-189,K3 IV,0.81,Hydrogen,K2-189,S
K2-19,G1 V,1.5,Hydrogen,K2-19,S
K2-190,G2 V,0.96,Hydrogen,K2-190,S
K2-191,K0 III-IV,4.86,Hydrogen,K2-191,S
K2-192,K0 III-IV,4.86,Hydrogen,K2-192,S
K2-193,M2.5 III,88.48,Hydrogen,K2-193,S
K2-194,G0 IV,2,Hydrogen,K2-194,S
K2-195,K3 V,0.74,Hydrogen,K2-195,S
K2-196,G0 V,1.27,Hydrogen,K2-196,S
K2-197,G3 V,1.15,Hydrogen,K2-197,S
K2-198,G3 V,1.15,Hydrogen,K2-198,S
K2-199,,1.94,Hydrogen,K2-199,S
K2-200,G3 V,1.04,Hydrogen,K2-200,S
K2-201,K2 V,0.75,Hydrogen,K2-201,S
K2-2016-BLG-0005L,G5 IV,2.59,Hydrogen,K2-2016-BLG-0005L,S
K2-202,G V,1.14,Hydrogen,K2-202,S
K2-203,G6 IV,1.17,Hydrogen,K2-203,S
K2-204,G5 V,1.38,Hydrogen,K2-204,S
K2-205,F8 V,1.53,Hydrogen,K2-205,S
K2-206,K0,1.4,Hydrogen,K2-206,S
K2-207,,0.93,Hydrogen,K2-207,S
K2-208,,0.93,Hydrogen,K2-208,S
K2-209,,0.93,Hydrogen,K2-209,S
K2-21,,0.93,Hydrogen,K2-21,S
K2-210,,0.93,Hydrogen,K2-210,S
K2-211,K2 V,0.74,Hydrogen,K2-211,S
K2-212,K3V,0.86,Hydrogen,K2-212,S
K2-213,K3V,0.81,Hydrogen,K2-213,S
K2-214,G8 IV,4.41,Hydrogen,K2-214,S
K2-215,,1.15,Hydrogen,K2-215,S
K2-216,G3 IV-V,1.48,Hydrogen,K2-216,S
K2-217,G3 V,1.42,Hydrogen,K2-217,S
K2-218,G1 V,1.73,Hydrogen,K2-218,S
K2-219,K0,32.3,Hydrogen,K2-219,S
K2-22,G3V,0.92,Hydrogen,K2-22,S
K2-220,F8 V,1.8,Hydrogen,K2-220,S
K2-221,G8 V,0.92,Hydrogen,K2-221,S
K2-222,G8 V,0.92,Hydrogen,K2-222,S
K2-223,G8 IV,4.92,Hydrogen,K2-223,S
K2-224,G6 V,1.04,Hydrogen,K2-224,S
K2-225,K0 III-IV,6.43,Hydrogen,K2-225,S
K2-226,,2.59,Hydrogen,K2-226,S
K2-227,G8 V,0.86,Hydrogen,K2-227,S
K2-228,,1.13,Hydrogen,K2-228,S
K2-229,,10.59,Hydrogen,K2-229,S
K2-230,G2/G3 IV/V,1.19,Hydrogen,K2-230,S
K2-231,G5 V,1.1,Hydrogen,K2-231,S
K2-232,G5 V,1.13,Hydrogen,K2-232,S
K2-233,G5 V,1.13,Hydrogen,K2-233,S
K2-237,F7 V,1.33,Hydrogen,K2-237,S
K2-238,G5 IV/V,2.22,Hydrogen,K2-238,S
K2-239,K0 III,6.12,Hydrogen,K2-239,S
K2-24,K2.5 V,0.77,Hydrogen,K2-24,S
K2-240,K0 V,0.83,Hydrogen,K2-240,S
K2-241,K0 V,0.83,Hydrogen,K2-241,S
K2-242,G1.5 V,1.13,Hydrogen,K2-242,S
K2-243,G5 V,0.89,Hydrogen,K2-243,S
K2-244,K0 V,0.78,Hydrogen,K2-244,S
K2-245,G6 V,0.93,Hydrogen,K2-245,S
K2-246,G6 V,0.93,Hydrogen,K2-246,S
K2-247,G8,0.92,Hydrogen,K2-247,S
K2-248,G2 V,1.2,Hydrogen,K2-248,S
K2-249,M1 III,51.1,Hydrogen,K2-249,S
K2-25,K3/4 IV,0.76,Hydrogen,K2-25,S
K2-250,K0,4.98,Hydrogen,K2-250,S
K2-251,,1.18,Hydrogen,K2-251,S
K2-252,G3 V,1.06,Hydrogen,K2-252,S
K2-253,G0 V,1.07,Hydrogen,K2-253,S
K2-254,K1 IV,4.54,Hydrogen,K2-254,S
K2-255,G5,1.13,Hydrogen,K2-255,S
K2-257,K7 V,0.57,Hydrogen,K2-257,S
K2-258,F8 V,1.16,Hydrogen,K2-258,S
K2-259,G8 IV,5.27,Hydrogen,K2-259,S
K2-26,G0/1 V,1.51,Hydrogen,K2-26,S
K2-260,,1.43,Hydrogen,K2-260,S
K2-261,,1.08,Hydrogen,K2-261,S
K2-263,G,1.1,Hydrogen,K2-263,S
K2-264,G,1.1,Hydrogen,K2-264,S
K2-265,G0,2.04,Hydrogen,K2-265,S
K2-266,K3 V,0.73,Hydrogen,K2-266,S
K2-268,,1.04,Hydrogen,K2-268,S
K2-269,K2,0.76,Hydrogen,K2-269,S
K2-27,K2,0.76,Hydrogen,K2-27,S
K2-270,K0,9.83,Hydrogen,K2-270,S
K2-271,G8 V,0.91,Hydrogen,K2-271,S
K2-272,G8 V,0.91,Hydrogen,K2-272,S
K2-273,G8 IV,1.11,Hydrogen,K2-273,S
K2-274,G8 IV,1.2,Hydrogen,K2-274,S
K2-275,K4.5,0.7,Hydrogen,K2-275,S
K2-276,F8 V,1.34,Hydrogen,K2-276,S
K2-277,,1.33,Hydrogen,K2-277,S
K2-278,K3V,0.85,Hydrogen,K2-278,S
K2-279,G8 V+,1.91,Hydrogen,K2-279,S
K2-28,K3 V,0.78,Hydrogen,K2-28,S
K2-280,K3 V,0.78,Hydrogen,K2-280,S
K2-281,K3 V,0.78,Hydrogen,K2-281,S
K2-283,K3 V,0.77,Hydrogen,K2-283,S
K2-284,K3 V,0.77,Hydrogen,K2-284,S
K2-285,G5 III,11.22,Hydrogen,K2-285,S
K2-286,G0 IV,1.61,Hydrogen,K2-286,S
K2-287,M2 III,54.92,Hydrogen,K2-287,S
K2-288,G5,0.98,Hydrogen,K2-288 B,S
K2-289,G3 V,1.07,Hydrogen,K2-289,S
K2-29,F9,1.68,Hydrogen,K2-29,S
K2-290,F8,1.42,Hydrogen,K2-290,S
K2-291,K0 IV/V,2.94,Hydrogen,K2-291,S
K2-292,G1 V,1.95,Hydrogen,K2-292,S
K2-293,G8 IV,1.85,Hydrogen,K2-293,S
K2-294,K0 III,4.1,Hydrogen,K2-294,S
K2-295,G2 V,1.85,Hydrogen,K2-295,S
K2-3,K3 V,0.71,Hydrogen,K2-3,S
K2-30,G2 V,1.93,Hydrogen,K2-30,S
K2-308,K5/M0V,0.67,Hydrogen,K2-308,S
K2-31,G8 III/IV,5.69,Hydrogen,K2-31,S
HD 80653,K1,0.74,Hydrogen,HD 80653,S
K2-315,F7/F8V,1.12,Hydrogen,K2-315,S
K2-316,F9.5 V,1.07,Hydrogen,K2-316,S
K2-317,F8 V,1.53,Hydrogen,K2-317,S
K2-318,K5,10.9,Hydrogen,K2-318,S
K2-319,G0,0.68,Hydrogen,K2-319,S
K2-32,K4 V,0.71,Hydrogen,K2-32,S
K2-320,K4 V,0.71,Hydrogen,K2-320,S
K2-321,,0.79,Hydrogen,K2-321,S
K2-322,F8,1.53,Hydrogen,K2-322,S
K2-323,M0.0 V,0.57,Hydrogen,K2-323,S
K2-324,K7,12.73,Hydrogen,K2-324,S
K2-325,K3 III,25.46,Hydrogen,K2-325,S
K2-326,K2 III,71.23,Hydrogen,K2-326,S
K2-329,G0 V,1.3,Hydrogen,K2-329,S
K2-33,G0 V,1.39,Hydrogen,K2-33,S
K2-330,K0,40,Hydrogen,K2-330,S
K2-331,G0 V,1.41,Hydrogen,K2-331,S
K2-332,F8 V,1.23,Hydrogen,K2-332,S
K2-333,,1.42,Hydrogen,K2-333,S
K2-334,,1.42,Hydrogen,K2-334,S
K2-335,K1 III,13.76,Hydrogen,K2-335,S
K2-336,,1,Hydrogen,K2-336,S
K2-337,,1,Hydrogen,K2-337,S
K2-338,M0 V,0.44,Hydrogen,K2-338,S
K2-339,M0 V,0.44,Hydrogen,K2-339,S
K2-34,,1.46,Hydrogen,K2-34,S
K2-340,K1 V,0.94,Hydrogen,K2-340,S
K2-341,,1.56,Hydrogen,K2-341,S
K2-342,K1/2III,3.18,Hydrogen,K2-342,S
K2-343,G3 IV/V,0.92,Hydrogen,K2-343,S
K2-344,K2 V,0.89,Hydrogen,K2-344,S
K2-345,K2 V,0.89,Hydrogen,K2-345,S
K2-346,G0 V,1.27,Hydrogen,K2-346,S
K2-347,F8/G0 V,1.45,Hydrogen,K2-347,S
K2-348,F8/G0 V,1.45,Hydrogen,K2-348,S
K2-349,G5,1.03,Hydrogen,K2-349,S
K2-35,G5,1.03,Hydrogen,K2-35,S
K2-350,G5 V,1.48,Hydrogen,K2-350,S
K2-351,K4.5 V,0.69,Hydrogen,K2-351,S
K2-352,M2 V,0.48,Hydrogen,K2-352,S
K2-353,G8 V,0.95,Hydrogen,K2-353,S
K2-354,K1 III,4.5,Hydrogen,K2-354,S
K2-355,K0 III,10.9,Hydrogen,K2-355,S
K2-356,,0.57,Hydrogen,K2-356,S
K2-357,G8 V,1.02,Hydrogen,K2-357,S
K2-358,G8 V,1.18,Hydrogen,K2-358,S
K2-36,G2 IV,1.61,Hydrogen,K2-36,S
K2-365,F8,1.75,Hydrogen,K2-365,S
K2-366,G2 V,1.07,Hydrogen,K2-366,S
K2-367,G2 V,1.07,Hydrogen,K2-367,S
K2-368,G2 V,1.07,Hydrogen,K2-368,S
K2-369,K0 V,0.88,Hydrogen,K2-369,S
K2-37,K0 V,0.88,Hydrogen,K2-37,S
K2-370,K1,0.84,Hydrogen,K2-370,S
K2-371,K0,1.11,Hydrogen,K2-371,S
K2-372,K0 III,4.17,Hydrogen,K2-372,S
K2-373,K0 III,4.17,Hydrogen,K2-373,S
K2-374,K0 III,4.17,Hydrogen,K2-374,S
K2-375,G3/G5 V,1.97,Hydrogen,K2-375,S
K2-376,F6 V,1.44,Hydrogen,K2-376,S
K2-377,K0 III,5.39,Hydrogen,K2-377,S
K2-378,K0 III,5.29,Hydrogen,K2-378,S
K2-379,G0 V,1.38,Hydrogen,K2-379,S
K2-38,G0 V,1.38,Hydrogen,K2-38,S
K2-380,G0 V,1.38,Hydrogen,K2-380,S
K2-381,G0 V,1.38,Hydrogen,K2-381,S
K2-382,G8 III,10.86,Hydrogen,K2-382,S
K2-383,M0 III,38.4,Hydrogen,K2-383,S
K2-384,K0 V,0.87,Hydrogen,K2-384,S
K2-385,K0,0.91,Hydrogen,K2-385,S
K2-386,K2V,0.83,Hydrogen,K2-386,S
K2-387,F9.5 V,1.49,Hydrogen,K2-387,S
K2-388,G4 IV,2.86,Hydrogen,K2-388,S
K2-389,G4 IV,2.86,Hydrogen,K2-389,S
K2-39,G0 V,1.19,Hydrogen,K2-39,S
K2-390,K0 V,0.78,Hydrogen,K2-390,S
K2-391,K0 V,0.78,Hydrogen,K2-391,S
K2-392,K0 V,0.78,Hydrogen,K2-392,S
K2-393,G8 V,0.74,Hydrogen,K2-393,S
K2-394,K2.5 V,0.72,Hydrogen,K2-394,S
K2-395,K2.5 V,0.72,Hydrogen,K2-395,S
K2-396,K2.5 V,0.72,Hydrogen,K2-396,S
K2-397,K0,8.56,Hydrogen,K2-397,S
K2-398,F8 V,1.21,Hydrogen,K2-398,S
K2-4,M2 V,1.04,Hydrogen,K2-4,S
K2-400,G5,1.08,Hydrogen,K2-400,S
K2-401,K0,0.82,Hydrogen,K2-401,S
K2-402,G5,1.42,Hydrogen,K2-402,S
K2-403,G5,1.5,Hydrogen,K2-403,S
K2-404,G7 V Fe-1 CH-0.5,0.85,Hydrogen,K2-404,S
K2-405,G4 V,1,Hydrogen,K2-405,S
K2-406,,0.98,Hydrogen,K2-406,S
K2-407,G5V,1.02,Hydrogen,K2-407,S
K2-408,G8 V,1,Hydrogen,K2-408,S
K2-409,G8 V,1,Hydrogen,K2-409,S
K2-411,G0,1.6,Hydrogen,K2-411,S
K2-412,G3 V,1.32,Hydrogen,K2-412,S
K2-413,G1.5 V,1.08,Hydrogen,K2-413,S
K2-414,G5 V,1.26,Hydrogen,K2-414,S
K2-415,K0 V,0.89,Hydrogen,K2-415,S
K2-416,G8/K0,0.94,Hydrogen,K2-416,S
K2-417,,1.28,Hydrogen,K2-417,S
K2-419,K1 IV-V,0.91,Hydrogen,K2-419 A,S
K2-42,G6 V,1.08,Hydrogen,K2-42,S
K2-43,G6 V,1.08,Hydrogen,K2-43,S
K2-44,K0 IV,5.03,Hydrogen,K2-44,S
K2-45,K1 III,7.3,Hydrogen,K2-45,S
K2-46,K1 III,7.3,Hydrogen,K2-46,S
K2-47,K1 III,23.47,Hydrogen,K2-47,S
K2-48,K2,42.4,Hydrogen,K2-48,S
K2-49,G5 IV/V,1.9,Hydrogen,K2-49,S
K2-5,K3 V,0.68,Hydrogen,K2-5,S
K2-52,K0 III/IV,5.01,Hydrogen,K2-52,S
K2-53,G5 V,1.02,Hydrogen,K2-53,S
K2-54,G1 V,1.35,Hydrogen,K2-54,S
K2-55,G1 V,1.42,Hydrogen,K2-55,S
K2-57,F8 V,1.02,Hydrogen,K2-57,S
K2-58,G7 V,0.92,Hydrogen,K2-58,S
K2-59,F V,1.19,Hydrogen,K2-59,S
K2-6,G5,4.06,Hydrogen,K2-6,S
K2-60,G5,4.06,Hydrogen,K2-60,S
K2-61,G0 V,1.52,Hydrogen,K2-61,S
K2-62,,9.09,Hydrogen,K2-62,S
K2-63,G2/G3 V,1.01,Hydrogen,K2-63,S
K2-64,,1.78,Hydrogen,K2-64,S
K2-65,G5,10.64,Hydrogen,K2-65,S
K2-66,K2 III,13.2,Hydrogen,K2-66,S
K2-68,K0 III,27,Hydrogen,K2-68,S
K2-69,F6 IV,2.57,Hydrogen,K2-69,S
K2-7,F6 IV,2.57,Hydrogen,K2-7,S
K2-70,,1.01,Hydrogen,K2-70,S
K2-71,F7 V,1.4,Hydrogen,K2-71,S
K2-72,F7 V,1.4,Hydrogen,K2-72,S
K2-73,,0.92,Hydrogen,K2-73,S
K2-74,,0.92,Hydrogen,K2-74,S
K2-75,K4 V,0.77,Hydrogen,K2-75,S
K2-77,,0.96,Hydrogen,K2-77,S
K2-79,,0.96,Hydrogen,K2-79,S
K2-8,G7 V,0.88,Hydrogen,K2-8,S
K2-80,G2/3 V,1.12,Hydrogen,K2-80,S
K2-81,K2 III,21.4,Hydrogen,K2-81,S
K2-83,G8 IV (+ G),1.13,Hydrogen,K2-83,S
K2-84,F8 V,1.55,Hydrogen,K2-84,S
K2-85,G5 V,0.95,Hydrogen,K2-85,S
K2-86,G5 IV/V,1.02,Hydrogen,K2-86,S
K2-87,M0 III,86.4,Hydrogen,K2-87,S
K2-88,G2 V,1.19,Hydrogen,K2-88,S
K2-89,G2 V,1.26,Hydrogen,K2-89,S
K2-9,K1 III,7.72,Hydrogen,K2-9,S
K2-90,K0V,0.89,Hydrogen,K2-90,S
K2-91,K0V,0.89,Hydrogen,K2-91,S
K2-95,G1-1.5 V,0.98,Hydrogen,K2-95,S
K2-97,G6 V,0.98,Hydrogen,K2-97,S
K2-98,K1 IV,0.97,Hydrogen,K2-98,S
K2-99,G5,4.96,Hydrogen,K2-99,S
KELT-1,G2 V,1.46,Hydrogen,KELT-1,S
KELT-10,G2 V,1.46,Hydrogen,KELT-10,S
KELT-11,G5 V,1.22,Hydrogen,KELT-11,S
KELT-12,G8 IV,0.94,Hydrogen,KELT-12,S
KELT-14,K0 V,0.91,Hydrogen,KELT-14,S
KELT-15,K0 V,0.96,Hydrogen,KELT-15,S
KELT-16,F6 V,1.22,Hydrogen,KELT-16,S
KELT-17,F6 V,1.22,Hydrogen,KELT-17,S
KELT-18,F6 V,1.22,Hydrogen,KELT-18,S
KELT-19,G6 V,1.53,Hydrogen,KELT-19 A,S
KELT-2,G6 V,1.53,Hydrogen,KELT-2 A,S
KELT-20,G5,2.58,Hydrogen,KELT-20,S
KELT-21,K4 V,0.65,Hydrogen,KELT-21,S
KELT-23,K4 V,0.65,Hydrogen,KELT-23 A,S
KELT-24,G0,1.51,Hydrogen,KELT-24,S
KELT-3,G0,1.51,Hydrogen,KELT-3,S
KELT-4,F9.5 V,0.97,Hydrogen,KELT-4 A,S
KELT-6,G5 V,1.33,Hydrogen,KELT-6,S
KELT-7,G0,1.23,Hydrogen,KELT-7,S
KELT-8,G5 V,0.94,Hydrogen,KELT-8,S
KELT-9,G5,3.4,Hydrogen,KELT-9,S
KIC 10001893,G5,3.4,Hydrogen,KIC 10001893,S
KIC 10068024,G6 V,1.37,Hydrogen,KIC 10068024,S
KIC 10525077,K1 III,8.33,Hydrogen,KIC 10525077,S
KIC 3526061,K0 IV,0.97,Hydrogen,KIC 3526061,S
KIC 3558849,F5,1.32,Hydrogen,KIC 3558849,S
KIC 5437945,G8 III,11.06,Hydrogen,KIC 5437945,S
KIC 5479689,K0.5 V,0.78,Hydrogen,KIC 5479689,S
KIC 7917485,K0.5 V,0.78,Hydrogen,KIC 7917485,S
KIC 8121913,K0.5 V,0.78,Hydrogen,KIC 8121913,S
KOI-7892,G5,1.05,Hydrogen,KOI-7892,S
KIC 9663113,G2,1.22,Hydrogen,KIC 9663113,S
KMT-2016-BLG-0212L,G5,1.06,Hydrogen,KMT-2016-BLG-0212L,S
KMT-2016-BLG-1105L,,0.81,Hydrogen,KMT-2016-BLG-1105L,S
KMT-2016-BLG-1107L,,1.65,Hydrogen,KMT-2016-BLG-1107L,S
KMT-2016-BLG-1397L,G2/G3,0.91,Hydrogen,KMT-2016-BLG-1397L,S
KMT-2016-BLG-1820L,K0 III-IV,11.13,Hydrogen,KMT-2016-BLG-1820L,S
KMT-2016-BLG-1836L,K3 III,83.8,Hydrogen,KMT-2016-BLG-1836L,S
KMT-2016-BLG-2142L,K3 III,109.46,Hydrogen,KMT-2016-BLG-2142L,S
KMT-2016-BLG-2321L,G0,5.26,Hydrogen,KMT-2016-BLG-2321L,S
KMT-2016-BLG-2364L,G2/3V,1.18,Hydrogen,KMT-2016-BLG-2364L,S
KMT-2016-BLG-2397L,G2/3V,1.18,Hydrogen,KMT-2016-BLG-2397L,S
KMT-2016-BLG-2605L,K2 V,0.78,Hydrogen,KMT-2016-BLG-2605L,S
KMT-2017-BLG-0165L,K0 V,0.94,Hydrogen,KMT-2017-BLG-0165L,S
